"Id","Nombre","Descripcion","Costo"
"17","ec3ed3ed3ed3ed3ed3ed3ed3ed3ed3ed3","3rv3ev3e 3e3ec","50"
"16","ec3ed3ed3ed3ed3ed3ed3ed3ed3ed3ed3","3rv3ev3e 3e3ec","50"
"15","ec3ed3ed3ed3ed3ed3ed3ed3ed3ed3ed3","3rv3ev3e 3e3ec","50"
"14","Joaquin Abimael11111111111111111111111111","12dw1wd22","50"
"13","666666666","wdcwdc","50"
"12","666666666","wdcwdc","50"
"11","666666666","wdcwdc","50"
"10","5555","ervrev","50"
"9","4444","4ferferf","50"
"8","1caray","3efd3e","50"
"7","Joaquin Abimael34f34f3","3rff34f34f4f4","50"
"6","Joaquin Abimael34f34f3","3rff34f34f4f4","50"
"5","Plano 3wdc","wdcwdcw","50"
"4","esta es la sala de joaquin","cefcvefv","50"
"2","FISIOTERAPIA VISCERAL","Ayuda a los desequilibrios funcionales y estructurales musculoesqueléticas, vasculares, nerviosas, urogenitales, respiratorias, digestivas y linfáticas","250"
"1","AULA DE ABORDAJE DE LA ATM","La columna cervical superior y la articulación temporomandibular están íntimamente relacionadas, esta especialidad de la fisioterapia acomete su abordaje","99"
